Rank,Team,GM,W-L,FGM,FGA,FG%
145,DePaul (AAC),31,12-19,857,"1,956",43.8
105,Detroit Mercy (Horizon),36,22-14,903,"2,008",45
139,Drake (MVC),34,18-16,788,"1,794",43.9
137,Drexel (CAA),36,29-7,801,"1,821",44
79,Duke (ACC),34,27-7,874,"1,915",45.6
97,Duquesne (Atlantic 10),31,16-15,806,"1,786",45.1
156,East Carolina (C-USA),31,15-16,747,"1,714",43.6
157,Eastern Ill. (OVC),29,12-17,688,"1,579",43.6
170,Eastern Ky. (OVC),32,16-16,744,"1,715",43.4
335,Eastern Mich. (MAC),32,14-18,583,"1,555",37.5
276,Eastern Wash. (Big Sky),32,15-17,788,"1,914",41.2
241,Elon (SoCon),31,15-16,770,"1,831",42.1
133,ETSU (ASUN),31,17-14,768,"1,743",44.1
63,Evansville (MVC),32,16-16,801,"1,738",46.1
108,Fairfield (MAAC),37,22-15,884,"1,973",44.8
275,Fairleigh Dickinson (NEC),29,3-26,655,"1,589",41.2
81,FGCU (ASUN),32,15-17,823,"1,806",45.6
258,FIU (Sun Belt),29,8-21,630,"1,514",41.6
270,Fla. Atlantic (Sun Belt),30,11-19,718,"1,737",41.3
294,Florida A&M (MEAC),33,10-23,820,"2,019",40.6
80,Florida St. (ACC),35,25-10,877,"1,923",45.6
53,Florida (SEC),37,26-11,976,"2,106",46.3
330,Fordham (Atlantic 10),29,10-19,663,"1,729",38.3
286,Fresno St. (WAC),33,13-20,745,"1,820",40.9
269,Furman (SoCon),31,15-16,681,"1,646",41.4
46,Ga. Southern (SoCon),30,15-15,749,"1,608",46.6
262,Gardner-Webb (Big South),32,12-20,749,"1,804",41.5
54,George Mason (CAA),33,24-9,828,"1,788",46.3
215,George Washington (Atlantic 10),31,10-21,733,"1,725",42.5
48,Georgetown (AAC),33,24-9,811,"1,743",46.5
160,Georgia St. (CAA),34,22-12,842,"1,936",43.5
203,Georgia Tech (ACC),31,11-20,700,"1,639",42.7
317,Georgia (SEC),32,15-17,692,"1,750",39.5
29,Gonzaga (WCC),33,26-7,823,"1,740",47.3
338,Grambling (SWAC),28,4-24,521,"1,452",35.9
228,Green Bay (Horizon),30,15-15,693,"1,638",42.3
306,Hampton (MEAC),33,12-21,746,"1,853",40.3
267,Hartford (America East),31,9-22,654,"1,580",41.4
45,Harvard (Ivy League),31,26-5,695,"1,490",46.6
62,Hawaii (WAC),32,16-16,835,"1,811",46.1
138,High Point (Big South),31,13-18,746,"1,698",43.9
303,Hofstra (CAA),32,10-22,700,"1,732",40.4
192,Holy Cross (Patriot),29,15-14,673,"1,565",43
227,Houston Baptist (GWC),30,10-20,787,"1,860",42.3
51,Houston (C-USA),30,15-15,795,"1,714",46.4
331,Howard (MEAC),31,10-21,618,"1,613",38.3
240,Idaho St. (Big Sky),30,9-21,695,"1,652",42.1
19,Idaho (WAC),33,19-14,807,"1,692",47.7
141,Illinois St. (MVC),35,21-14,804,"1,832",43.9
134,Illinois (Big Ten),32,17-15,767,"1,741",44.1
244,Indiana St. (MVC),33,18-15,722,"1,719",42
5,Indiana (Big Ten),36,27-9,949,"1,928",49.2
3,Iona (MAAC),33,25-8,"1,021","2,033",50.2
107,Iowa St. (Big 12),34,23-11,847,"1,888",44.9
83,Iowa (Big Ten),35,18-17,902,"1,984",45.5
128,IUPUI (Summit League),32,14-18,819,"1,850",44.3
332,Jackson St. (SWAC),31,7-24,618,"1,621",38.1
218,Jacksonville St. (OVC),33,15-18,748,"1,761",42.5
250,Jacksonville (ASUN),30,8-22,706,"1,688",41.8
235,James Madison (CAA),32,12-20,748,"1,774",42.2
187,Kansas City (Summit League),31,10-21,699,"1,621",43.1
